frame,seconds,rate,phase,expected
0,0,1,0,0
1,0.033333333333333333,1,0.033333333333333333,0.033333333333333333
2,0.066666666666666666,1,0.066666666666666666,0.066666666666666666
3,0.10000000000000001,1,0.10000000000000001,0.10000000000000001
4,0.13333333333333333,1,0.13333333333333333,0.13333333333333333
5,0.16666666666666666,1,0.16666666666666666,0.16666666666666666
6,0.20000000000000001,1,0.20000000000000001,0.20000000000000001
7,0.23333333333333334,1,0.23333333333333334,0.23333333333333334
8,0.26666666666666666,1,0.26666666666666666,0.26666666666666666
9,0.29999999999999999,1,0.29999999999999999,0.29999999999999999
10,0.33333333333333331,1,0.33333333333333331,0.33333333333333331
11,0.36666666666666664,1,0.36666666666666664,0.36666666666666664
12,0.40000000000000002,1,0.40000000000000002,0.40000000000000002
13,0.43333333333333335,1,0.43333333333333335,0.43333333333333335
14,0.46666666666666667,1,0.46666666666666667,0.46666666666666667
15,0.5,1,0.5,0.5
16,0.53333333333333333,1,0.53333333333333333,0.53333333333333333
17,0.56666666666666665,1,0.56666666666666665,0.56666666666666665
18,0.59999999999999998,1,0.59999999999999998,0.59999999999999998
19,0.6333333333333333,1,0.6333333333333333,0.6333333333333333
20,0.66666666666666663,1,0.66666666666666663,0.66666666666666663
21,0.69999999999999996,1,0.69999999999999996,0.69999999999999996
22,0.73333333333333328,1,0.73333333333333328,0.73333333333333328
23,0.76666666666666672,1,0.76666666666666672,0.76666666666666672
24,0.80000000000000004,1,0.80000000000000004,0.80000000000000004
25,0.83333333333333337,1,0.83333333333333337,0.83333333333333337
26,0.8666666666666667,1,0.8666666666666667,0.8666666666666667
27,0.90000000000000002,1,0.90000000000000002,0.90000000000000002
28,0.93333333333333335,1,0.93333333333333335,0.93333333333333335
29,0.96666666666666667,1,0.96666666666666667,0.96666666666666667
30,1,1,1,1
31,1.0333333333333334,1,1.0333333333333334,1.0333333333333334
32,1.0666666666666667,1,1.0666666666666667,1.0666666666666667
33,1.1000000000000001,1,1.1000000000000001,1.1000000000000001
34,1.1333333333333333,1,1.1333333333333333,1.1333333333333333
35,1.1666666666666667,1,1.1666666666666667,1.1666666666666667
36,1.2,1,1.2,1.2
37,1.2333333333333334,1,1.2333333333333334,1.2333333333333334
38,1.2666666666666666,1,1.2666666666666666,1.2666666666666666
39,1.3,1,1.3,1.3
40,1.3333333333333333,1,1.3333333333333333,1.3333333333333333
41,1.3666666666666667,1,1.3666666666666667,1.3666666666666667
42,1.3999999999999999,1,1.3999999999999999,1.3999999999999999
43,1.4333333333333333,1,1.4333333333333333,1.4333333333333333
44,1.4666666666666666,1,1.4666666666666666,1.4666666666666666
45,1.5,1,1.5,1.5
46,1.5333333333333334,1,1.5333333333333334,1.5333333333333334
47,1.5666666666666667,1,1.5666666666666667,1.5666666666666667
48,1.6000000000000001,1,1.6000000000000001,1.6000000000000001
49,1.6333333333333333,1,1.6333333333333333,1.6333333333333333
50,1.6666666666666667,1,1.6666666666666667,1.6666666666666667
51,1.7,1,1.7,1.7
52,1.7333333333333334,1,1.7333333333333334,1.7333333333333334
53,1.7666666666666666,1,1.7666666666666666,1.7666666666666666
54,1.8,1,1.8,1.8
55,1.8333333333333333,1,1.8333333333333333,1.8333333333333333
56,1.8666666666666667,1,1.8666666666666667,1.8666666666666667
57,1.8999999999999999,1,1.8999999999999999,1.8999999999999999
58,1.9333333333333333,1,1.9333333333333333,1.9333333333333333
59,1.9666666666666666,1,1.9666666666666666,1.9666666666666666
60,2,1,2,2
61,2.0333333333333332,1,2.0333333333333332,2.0333333333333332
62,2.0666666666666669,1,2.0666666666666669,2.0666666666666669
63,2.1000000000000001,1,2.1000000000000001,2.1000000000000001
64,2.1333333333333333,1,2.1333333333333333,2.1333333333333333
65,2.1666666666666665,1,2.1666666666666665,2.1666666666666665
66,2.2000000000000002,1,2.2000000000000002,2.2000000000000002
67,2.2333333333333334,1,2.2333333333333334,2.2333333333333334
68,2.2666666666666666,1,2.2666666666666666,2.2666666666666666
69,2.2999999999999998,1,2.2999999999999998,2.2999999999999998
70,2.3333333333333335,1,2.3333333333333335,2.3333333333333335
71,2.3666666666666667,1,2.3666666666666667,2.3666666666666667
72,2.3999999999999999,1,2.3999999999999999,2.3999999999999999
73,2.4333333333333331,1,2.4333333333333331,2.4333333333333331
74,2.4666666666666668,1,2.4666666666666668,2.4666666666666668
75,2.5,1,2.5,2.5
76,2.5333333333333332,1,2.5333333333333332,2.5333333333333332
77,2.5666666666666669,1,2.5666666666666669,2.5666666666666669
78,2.6000000000000001,1,2.6000000000000001,2.6000000000000001
79,2.6333333333333333,1,2.6333333333333333,2.6333333333333333
80,2.6666666666666665,1,2.6666666666666665,2.6666666666666665
81,2.7000000000000002,1,2.7000000000000002,2.7000000000000002
82,2.7333333333333334,1,2.7333333333333334,2.7333333333333334
83,2.7666666666666666,1,2.7666666666666666,2.7666666666666666
84,2.7999999999999998,1,2.7999999999999998,2.7999999999999998
85,2.8333333333333335,1,2.8333333333333335,2.8333333333333335
86,2.8666666666666667,1,2.8666666666666667,2.8666666666666667
87,2.8999999999999999,1,2.8999999999999999,2.8999999999999999
88,2.9333333333333331,1,2.9333333333333331,2.9333333333333331
89,2.9666666666666668,1,2.9666666666666668,2.9666666666666668
90,3,1,3,3
91,3.0333333333333332,1,3.0333333333333332,3.0333333333333332
92,3.0666666666666669,1,3.0666666666666669,3.0666666666666669
93,3.1000000000000001,1,3.1000000000000001,3.1000000000000001
94,3.1333333333333333,1,3.1333333333333333,3.1333333333333333
95,3.1666666666666665,1,3.1666666666666665,3.1666666666666665
96,3.2000000000000002,1,3.2000000000000002,3.2000000000000002
97,3.2333333333333334,1,3.2333333333333334,3.2333333333333334
98,3.2666666666666666,1,3.2666666666666666,3.2666666666666666
99,3.2999999999999998,1,3.2999999999999998,3.2999999999999998
100,3.3333333333333335,1,3.3333333333333335,3.3333333333333335
101,3.3666666666666667,1,3.3666666666666667,3.3666666666666667
102,3.3999999999999999,1,3.3999999999999999,3.3999999999999999
103,3.4333333333333331,1,3.4333333333333331,3.4333333333333331
104,3.4666666666666668,1,3.4666666666666668,3.4666666666666668
105,3.5,1,3.5,3.5
106,3.5333333333333332,1,3.5333333333333332,3.5333333333333332
107,3.5666666666666669,1,3.5666666666666669,3.5666666666666669
108,3.6000000000000001,1,3.6000000000000001,3.6000000000000001
109,3.6333333333333333,1,3.6333333333333333,3.6333333333333333
110,3.6666666666666665,1,3.6666666666666665,3.6666666666666665
111,3.7000000000000002,1,3.7000000000000002,3.7000000000000002
112,3.7333333333333334,1,3.7333333333333334,3.7333333333333334
113,3.7666666666666666,1,3.7666666666666666,3.7666666666666666
114,3.7999999999999998,1,3.7999999999999998,3.7999999999999998
115,3.8333333333333335,1,3.8333333333333335,3.8333333333333335
116,3.8666666666666667,1,3.8666666666666667,3.8666666666666667
117,3.8999999999999999,1,3.8999999999999999,3.8999999999999999
118,3.9333333333333331,1,3.9333333333333331,3.9333333333333331
119,3.9666666666666668,1,3.9666666666666668,3.9666666666666668
120,4,1,4,4
121,4.0333333333333332,1,4.0333333333333332,4.0333333333333332
122,4.0666666666666664,1,4.0666666666666664,4.0666666666666664
123,4.0999999999999996,1,4.0999999999999996,4.0999999999999996
124,4.1333333333333337,1,4.1333333333333337,4.1333333333333337
125,4.166666666666667,1,4.166666666666667,4.166666666666667
126,4.2000000000000002,1,4.2000000000000002,4.2000000000000002
127,4.2333333333333334,1,4.2333333333333334,4.2333333333333334
128,4.2666666666666666,1,4.2666666666666666,4.2666666666666666
129,4.2999999999999998,1,4.2999999999999998,4.2999999999999998
130,4.333333333333333,1,4.333333333333333,4.333333333333333
131,4.3666666666666663,1,4.3666666666666663,4.3666666666666663
132,4.4000000000000004,1,4.4000000000000004,4.4000000000000004
133,4.4333333333333336,1,4.4333333333333336,4.4333333333333336
134,4.4666666666666668,1,4.4666666666666668,4.4666666666666668
135,4.5,1,4.5,4.5
136,4.5333333333333332,1,4.5333333333333332,4.5333333333333332
137,4.5666666666666664,1,4.5666666666666664,4.5666666666666664
138,4.5999999999999996,1,4.5999999999999996,4.5999999999999996
139,4.6333333333333337,1,4.6333333333333337,4.6333333333333337
140,4.666666666666667,1,4.666666666666667,4.666666666666667
141,4.7000000000000002,1,4.7000000000000002,4.7000000000000002
142,4.7333333333333334,1,4.7333333333333334,4.7333333333333334
143,4.7666666666666666,1,4.7666666666666666,4.7666666666666666
144,4.7999999999999998,1,4.7999999999999998,4.7999999999999998
145,4.833333333333333,1,4.833333333333333,4.833333333333333
146,4.8666666666666663,1,4.8666666666666663,4.8666666666666663
147,4.9000000000000004,1,4.9000000000000004,4.9000000000000004
148,4.9333333333333336,1,4.9333333333333336,4.9333333333333336
149,4.9666666666666668,1,4.9666666666666668,4.9666666666666668
150,5,1,5,5
151,5.0333333333333332,1,5.0333333333333332,5.0333333333333332
152,5.0666666666666664,1,5.0666666666666664,5.0666666666666664
153,5.0999999999999996,1,5.0999999999999996,5.0999999999999996
154,5.1333333333333337,1,5.1333333333333337,5.1333333333333337
155,5.166666666666667,1,5.166666666666667,5.166666666666667
156,5.2000000000000002,1,5.2000000000000002,5.2000000000000002
157,5.2333333333333334,1,5.2333333333333334,5.2333333333333334
158,5.2666666666666666,1,5.2666666666666666,5.2666666666666666
159,5.2999999999999998,1,5.2999999999999998,5.2999999999999998
160,5.333333333333333,1,5.333333333333333,5.333333333333333
161,5.3666666666666663,1,5.3666666666666663,5.3666666666666663
162,5.4000000000000004,1,5.4000000000000004,5.4000000000000004
163,5.4333333333333336,1,5.4333333333333336,5.4333333333333336
164,5.4666666666666668,1,5.4666666666666668,5.4666666666666668
165,5.5,1,5.5,5.5
166,5.5333333333333332,1,5.5333333333333332,5.5333333333333332
167,5.5666666666666664,1,5.5666666666666664,5.5666666666666664
168,5.5999999999999996,1,5.5999999999999996,5.5999999999999996
169,5.6333333333333337,1,5.6333333333333337,5.6333333333333337
170,5.666666666666667,1,5.666666666666667,5.666666666666667
171,5.7000000000000002,1,5.7000000000000002,5.7000000000000002
172,5.7333333333333334,1,5.7333333333333334,5.7333333333333334
173,5.7666666666666666,1,5.7666666666666666,5.7666666666666666
174,5.7999999999999998,1,5.7999999999999998,5.7999999999999998
175,5.833333333333333,1,5.833333333333333,5.833333333333333
176,5.8666666666666663,1,5.8666666666666663,5.8666666666666663
177,5.9000000000000004,1,5.9000000000000004,5.9000000000000004
178,5.9333333333333336,1,5.9333333333333336,5.9333333333333336
179,5.9666666666666668,1,5.9666666666666668,5.9666666666666668
180,6,2,6,6
181,6.0333333333333332,2,6.0666666666666664,6.0666666666666664
182,6.0666666666666664,2,6.1333333333333329,6.1333333333333329
183,6.0999999999999996,2,6.1999999999999993,6.1999999999999993
184,6.1333333333333337,2,6.2666666666666675,6.2666666666666675
185,6.166666666666667,2,6.3333333333333339,6.3333333333333339
186,6.2000000000000002,2,6.4000000000000004,6.4000000000000004
187,6.2333333333333334,2,6.4666666666666668,6.4666666666666668
188,6.2666666666666666,2,6.5333333333333332,6.5333333333333332
189,6.2999999999999998,2,6.5999999999999996,6.5999999999999996
190,6.333333333333333,2,6.6666666666666661,6.6666666666666661
191,6.3666666666666663,2,6.7333333333333325,6.7333333333333325
192,6.4000000000000004,2,6.8000000000000007,6.8000000000000007
